Host Name;Product;Product Version;Vendor;Installed Date
1cfoto_srv.zpyug.fox;Антивирусная система NOD32;;;12-May-2008 11:58:04 EEST
1cfoto_srv.zpyug.fox;NOD32 FiX;2.2;nsane productions;11-May-2008 22:00:00 EEST
1cv8-srv.DPKNTN.FOX;ESET NOD32 Antivirus;3.0.672.0;"ESET; spol s r. o.";26-Jan-2009 22:00:00 EET
1cv8_ch;Антивирусная система NOD32;;;03-Oct-2008 11:01:24 EEST
apps-srv.lvivyug.uk.fox;ESET NOD32 Antivirus;3.0.672.0;"ESET; spol s r. o.";02-Dec-2008 22:00:00 EET
BD-Gostomel.stor.fox;Антивирусная система NOD32;;;17-Sep-2008 09:02:56 EEST
bravo-dc.poltava.ug.fox;Антивирусная система NOD32;;;28-Dec-2007 17:59:53 EET
Chernigov_srv;Антивирусная система NOD32;;;06-Aug-2008 14:37:12 EEST
DC-1-131-SRV.stor-stal.fdp;Антивирусная система NOD32;;;17-Mar-2008 09:59:14 EET
DC-1-195-SRV.stor-inds.fdn;Антивирусная система NOD32;;;01-Feb-2008 11:46:50 EET
DC-1-3-SRV.Stor-pdls.fte;Антивирусная система NOD32;;;14-Jul-2008 07:28:07 EEST
DC-1-67-SRV.stor-prom.fkh;Антивирусная система NOD32;;;28-Feb-2008 09:33:59 EET
DC1.CHERKASS.OF.FOX;ESET NOD32 Antivirus;3.0.672.0;"ESET; spol s r. o.";28-Dec-2008 22:00:00 EET
dca-srv.stock-srv.stock;Антивирусная система NOD32;;;26-Jan-2009 16:02:28 EET
Dell-69-133.YUGCONTRACT.KH;Антивирусная система NOD32;;;08-Aug-2008 11:05:21 EEST
edu-srv;Антивирусная система NOD32;;;08-Apr-2008 07:36:55 EEST
edu-yugcontract-ua;Антивирусная система NOD32;;;11-Jun-2008 09:03:28 EEST
FAUTO-1SBAS.fauto;Антивирусная система NOD32;;;23-Jan-2008 17:26:31 EET
kiev-sibel-new.ydom;Антивирусная система NOD32;;;15-Jul-2008 13:22:03 EEST
kievcrm655.ydom;Антивирусная система NOD32;;;16-May-2008 11:31:14 EEST
n101ora.ydom;Антивирусная система NOD32;;;07-May-2008 12:52:52 EEST
sierra.office.foxtrot.dp.ua;Eset-NOD32: Fix Dasumo v3 until 2029;;;31-May-2008 20:09:23 EEST
sierra.office.foxtrot.dp.ua;ESET NOD32 Antivirus;3.0.650.0;ESET spol s r. o.;30-May-2008 22:00:00 EEST
stock-db.StockVN.kiev;ESET NOD32 Antivirus;3.0.672.0;"ESET; spol s r. o.";27-Jan-2009 22:00:00 EET
stock-srv.stock-srv.stock;Антивирусная система NOD32;;;23-Apr-2009 12:20:38 EEST
test10g64.ydom;Антивирусная система NOD32;;;06-Mar-2008 11:47:09 EET
